90.0, 90.0, 60.0, 60.0, 75.0, 78.0, 70.0, 80.0, 80.0, 80.0, 80.0
60.0, 90.0, 60.0, 60.0, 63.5, 63.5, 69.5, 70.0, 70.0, 70.0, 70.0
60.0, 65.0, 65.0, 50.5, 55.5, 54.5, 66.5, 65.0, 65.0, 65.0, 65.0
55.0, 60.0, 60.0, 44.0, 46.5, 47.5, 50.5, 59.5, 60.0, 60.0, 60.0
50.0, 55.0, 55.0, 43.0, 44.5, 44.0, 46.5, 55.0, 55.0, 55.0, 55.0
50.0, 55.0, 55.0, 42.0, 42.5, 42.5, 46.0, 50.0, 50.0, 50.0, 50.0
50.0, 51.0, 52.0, 41.0, 40.0, 41.0, 46.0, 50.0, 50.0, 50.0, 50.0
50.0, 48.0, 49.0, 41.0, 38.5, 38.5, 45.0, 50.0, 50.0, 50.0, 50.0
50.0, 44.5, 45.0, 40.0, 39.0, 38.5, 42.0, 43.0, 44.0, 45.0, 46.0
50.0, 44.0, 44.5, 40.0, 39.0, 40.0, 42.0, 43.0, 44.0, 45.0, 46.0
50.0, 44.0, 44.0, 42.0, 43.0, 44.5, 46.0, 46.5, 45.0, 45.0, 45.0
